,Stop ID,Stop Name,Lat,Lon,Stop Code
0,150DALE:1,U.S. 150 & Dale (NE Corner),40.114512,-88.180673,MTD5437
1,150DALE:3,U.S. 150 & Dale (South Side),40.114503,-88.180848,MTD5437
2,150DOD:5,U.S. 150 & Dodson (NE Far Side),40.114158,-88.173105,MTD2634
3,150UNI:4,U.S. 150 & University (NW Corner),40.116542,-88.18384,MTD6741
4,150UNI:8,U.S. 150 & University (NW Far Side),40.116033,-88.184178,MTD6741
5,1STARY:4,First & Armory (NW Corner),40.105503,-88.238705,MTD6236
6,1STARY:5,First & Armory (NE Far Side),40.10558,-88.238598,MTD6236
7,1STDAN:1,First & Daniel (NE Corner),40.107958,-88.23854,MTD4361
8,1STDAN:4,First & Daniel (NW Corner),40.108021,-88.238745,MTD4361
9,1STDAN:5,First & Daniel (NE Far Side),40.108166,-88.238626,MTD4361
10,1STDAN:6,First & Daniel (SE Far Side),40.107878,-88.238347,MTD4361
11,1STGRG:1,First & Gregory (NE Corner),40.10415,-88.238512,MTD5747
12,1STGRG:2,First & Gregory (SE Corner),40.103915,-88.238592,MTD5747
13,1STGRG:4,First & Gregory (NW Corner),40.104208,-88.238682,MTD5747
14,1STGTY:2,First & Gerty (SE Corner),40.087085,-88.238135,MTD4241
15,1STGTY:4,First & Gerty (NW Corner),40.087378,-88.238263,MTD4241
16,1STGTY:7,First & Gerty (SW Far Side),40.086967,-88.238265,MTD4241
17,1STHZLWD:2,First & Hazelwood (SE Corner),40.090728,-88.238153,MTD0342
18,1STHZLWD:4,First & Hazelwood (NW Corner),40.090917,-88.23829,MTD0342
19,1STIHOTEL:1,First at iHotel,40.092968,-88.238352,MTD1593
20,1STIHOTEL:2,First at iHotel,40.093201,-88.238256,MTD1593
21,1STLAKEPKN:2,First & Lake Park North (East Side),40.064809,-88.238284,MTD5117
22,1STLAKEPKN:4,First & Lake Park North (NW Corner),40.065039,-88.238444,MTD5117
23,1STLAKEPKS:2,First & Lake Park South (East Side),40.061609,-88.238277,MTD7209
24,1STLAKEPKS:4,First & Lake Park South (NW Corner),40.061776,-88.238373,MTD7209
25,1STSMR:1,First & St. Mary's (NE Corner),40.094535,-88.238312,MTD1333
26,1STSMR:2,First & St. Mary's (SE Corner),40.094343,-88.238467,MTD1333
27,1STSMR:3,First & St. Mary's (SW Corner),40.094472,-88.238642,MTD1333
28,1STSMR:4,First & St. Mary's (NW Corner),40.094647,-88.238638,MTD1333
29,1STSMR:5,First & St. Mary's (NE Far Side),40.094833,-88.238503,MTD1333
30,1STSPFLD:2,First & Springfield (SE Corner),40.112407,-88.238683,MTD8024
31,1STSPFLD:4,First & Springfield (NW Corner),40.112723,-88.238787,MTD8024
32,1STSTDM:2,First & Stadium (SE Corner),40.10257,-88.238592,MTD1756
33,1STSTDM:3,First & Stadium (SW Corner),40.102675,-88.238778,MTD1756
34,1STSTDM:4,First & Stadium (NW Corner),40.102803,-88.238675,MTD1756
35,1STWDSR:4,First & Windsor (NW Corner),40.083533,-88.238388,MTD5610
36,2NDCHCH:2,Second & Church (SE Corner),40.118243,-88.237045,MTD6161
37,2NDCHCH:4,Second & Church (NW Corner),40.118453,-88.237138,MTD6161
38,2NDPK:2,Second & Park (SE Corner),40.117212,-88.237007,MTD2735
39,2NDPK:4,Second & Park (NW Corner),40.117463,-88.237132,MTD2735
40,3RDDAN:3,Third & Daniel (SW Corner),40.107898,-88.235562,MTD4505
41,3RDDAN:8,Third & Daniel (NW Far Side),40.10799,-88.235558,MTD4505
42,4THARY:2,Fourth & Armory (SE Corner),40.105292,-88.233395,MTD5576
43,4THBIELFELDT:1,Fourth at Bielfeldt (West),40.096113,-88.23364,MTD8013
44,4THBIELFELDT:2,Fourth at Bielfeldt (East),40.096344,-88.233224,MTD8013
45,4THBRAD:1,Fourth & Bradley (NE Corner),40.127297,-88.2337,MTD2872
46,4THCHAL:1,4th & Chalmers (NE Corner),40.106838,-88.233322,MTD4752
47,4THCHAL:4,Fourth & Chalmers (NW Corner),40.106745,-88.23351,MTD4752
48,4THGRG:2,Fourth & Gregory (SE Corner),40.104095,-88.233226,MTD1411
49,4THGRG:7,Fourth & Gregory (SW Far Side),40.103817,-88.2335,MTD1411
50,4THKBY:2,Fourth & Kirby (SE Corner),40.097897,-88.233248,MTD6675
51,4THKBY:4,Fourth & Kirby (NW Corner),40.098844,-88.233472,MTD6675
52,4THKBY:5,Fourth & Kirby (NE Far Side),40.098817,-88.23326,MTD6675
53,4THPA:2,Fourth & Pennsylvania (SE Corner),40.100414,-88.233292,MTD6735
54,4THPA:4,Fourth & Pennsylvania (NW Corner),40.100552,-88.233452,MTD6735
55,4THPDY:1,Fourth & Peabody (NE Corner),40.101505,-88.233258,MTD3014
56,4THPDY:2,Fourth & Peabody (SE Corner),40.10133,-88.233307,MTD3014
57,4THPDY:3,Fourth & Peabody (SW Corner),40.101425,-88.233553,MTD3014
58,4THPDY:4,Fourth & Peabody (NW Corner),40.101603,-88.233468,MTD3014
59,4THPDY:5,Fourth & Peabody (NE Far Side),40.101847,-88.233323,MTD3014
60,4THSMR:4,Fourth & St. Mary's (NW Corner),40.094688,-88.233327,MTD7424
61,4THSMR:5,Fourth & St. Mary's (NE Far Side),40.094883,-88.233193,MTD7424
62,5THARY:3,Fifth & Armory (SW Corner),40.105381,-88.232076,MTD9345
63,5THARY:8,Fifth & Armory (NW Far Side),40.105465,-88.232198,MTD9345
64,5THBRD:2,Fifth & Beardsley (SE Corner),40.126168,-88.232085,MTD2054
65,5THBRD:4,Fifth & Beardsley (NW Corner),40.126377,-88.232177,MTD2054
66,5THCHAL:1,5th & Chalmers (NE Corner),40.106857,-88.231857,MTD7555
67,5THCLMBA:2,Fifth & Columbia (SE Corner),40.121088,-88.232068,MTD2036
